Date,Impressions Envoyees,Key
07/01/2017,7 203,393322-57
07/01/2017,7 601,1802
07/01/2017,7 933,393178-57
07/01/2017,10 676,394166-2
07/01/2017,11 991,393178-10
07/01/2017,12 091,413522-10
07/01/2017,13 068,394154-57
07/01/2017,14 128,4567
07/01/2017,15 402,460206-57
07/01/2017,15 428,394008-57
07/01/2017,15 433,460206-10
07/01/2017,16 339,473098-15
07/01/2017,18 281,394166-88
07/01/2017,20 001,395228-10
07/01/2017,22 563,471996-10
07/01/2017,24 327,394024-15
07/01/2017,25 464,471996-58
07/01/2017,26 817,395228-57
07/01/2017,30 445,471998-2
07/01/2017,30 885,471998-10
07/01/2017,31 636,394008-10
07/01/2017,36 981,1113
07/01/2017,1 353 532,-
07/01/2017,2 822 402,-
08/01/2017,1,4565
08/01/2017,17,391854-57
08/01/2017,65,391890-15
08/01/2017,70,391854-10
08/01/2017,653,8100
08/01/2017,1 192,4571
08/01/2017,1 445,452900-10
08/01/2017,1 639,452900-57
08/01/2017,2 790,394024-2
08/01/2017,2 862,392430-10
08/01/2017,2 919,393782-10
08/01/2017,3 074,393782-9
08/01/2017,3 097,392430-57
08/01/2017,3 218,393782-57
08/01/2017,3 516,460208-15
08/01/2017,3 934,392466-15
08/01/2017,5 706,393322-10
08/01/2017,5 723,13359
08/01/2017,8 119,1802
08/01/2017,8 349,2437
08/01/2017,8 635,393342-15
08/01/2017,8 692,393178-57
08/01/2017,8 885,393322-57
08/01/2017,12 571,394166-2
08/01/2017,12 675,393178-10
08/01/2017,13 899,460206-57
08/01/2017,14 146,460206-10
08/01/2017,14 243,413522-10
08/01/2017,14 696,473098-15
08/01/2017,15 384,394154-57
08/01/2017,17 197,4567
08/01/2017,17 367,394008-57
08/01/2017,19 535,395228-10
08/01/2017,20 940,471996-10
08/01/2017,21 550,394166-88
08/01/2017,23 463,471996-58
08/01/2017,24 781,395228-57
08/01/2017,27 817,471998-10
08/01/2017,27 837,394024-15
08/01/2017,28 233,471998-2
08/01/2017,33 637,1113
08/01/2017,37 440,394008-10
08/01/2017,1 342 468,-
08/01/2017,3 017 867,-
09/01/2017,3,Backgroundmobile-WL-fb
09/01/2017,27,test-alpsman
09/01/2017,44,391854-57
09/01/2017,70,Alpsman_Trimes_parallax
09/01/2017,79,391890-15
09/01/2017,85,391854-10
09/01/2017,1 124,8100
09/01/2017,1 389,test-alspaman-2
09/01/2017,1 454,4571
09/01/2017,1 518,452900-10
09/01/2017,1 796,452900-57
09/01/2017,3 321,393782-10
09/01/2017,3 467,393782-9
09/01/2017,3 585,393782-57
09/01/2017,4 089,Handball17_parallax
09/01/2017,4 385,394024-2
09/01/2017,4 498,392430-10
09/01/2017,4 744,392430-57
