Date,Impressions Envoyees,Key
12/07/2017,26,456346-10
12/07/2017,66,392880-10
12/07/2017,80,2997471007
12/07/2017,181,395240-10
12/07/2017,181,569746-10
12/07/2017,191,395240-57
12/07/2017,204,569748-15
12/07/2017,233,8100
12/07/2017,258,523438-2
12/07/2017,270,523436-10
12/07/2017,282,523436-57
12/07/2017,504,4571
12/07/2017,510,13359
12/07/2017,527,477702-10
12/07/2017,546,686600-15
12/07/2017,597,392430-10
12/07/2017,597,477700-10
12/07/2017,612,523402-57
12/07/2017,708,392430-57
12/07/2017,902,392466-15
12/07/2017,974,591326-15
12/07/2017,988,4565
12/07/2017,991,591326-2
12/07/2017,1028,393466-15
12/07/2017,1039,569748-2
12/07/2017,1071,456346-57
12/07/2017,1159,393466-2
12/07/2017,1188,529906-10
12/07/2017,1219,497122-2
12/07/2017,1246,529906-2
12/07/2017,1406,393782-10
12/07/2017,1500,393782-9
12/07/2017,1558,393782-57
12/07/2017,1790,394024-2
12/07/2017,1823,388229
12/07/2017,1826,477700-57
12/07/2017,1882,389607
12/07/2017,1901,569746-55
12/07/2017,2100,393766-2
12/07/2017,2408,529908-10
12/07/2017,2444,389606
12/07/2017,2538,388228
12/07/2017,2887,477702-2
12/07/2017,2938,9779145002
12/07/2017,3521,529908-2
12/07/2017,3652,471996-58
12/07/2017,3906,1802
12/07/2017,4121,393210-2
12/07/2017,5233,452900-10
12/07/2017,6101,452900-57
12/07/2017,6328,471998-2
12/07/2017,6488,471998-10
12/07/2017,6570,497124-15
12/07/2017,6677,393178-57
12/07/2017,6939,394008-57
12/07/2017,7294,394166-2
12/07/2017,7326,393188-10
12/07/2017,7435,393178-10
12/07/2017,7464,413522-10
12/07/2017,8121,394154-57
12/07/2017,8299,394024-15
12/07/2017,8519,2437
12/07/2017,9198,393188-2
12/07/2017,13419,394008-10
12/07/2017,15193,394166-88
12/07/2017,16223,1113
12/07/2017,16333,393342-15
12/07/2017,16629,393322-10
12/07/2017,16887,393322-57
12/07/2017,17032,4566
12/07/2017,19389,471996-10
12/07/2017,20343,1801
12/07/2017,20372,392902-15
12/07/2017,20849,395228-10
12/07/2017,23266,395228-57
12/07/2017,23926,392926-2
12/07/2017,26532,392902-57
12/07/2017,26877,4567
12/07/2017,42181,661430-15
12/07/2017,435123,-
13/07/2017,5,393368-10
13/07/2017,5,393368-57
13/07/2017,9,392892-10
13/07/2017,49,456346-10
13/07/2017,50,392880-10
13/07/2017,63,2997471007
13/07/2017,72,523402-10
13/07/2017,158,523404-2
13/07/2017,169,569746-10
13/07/2017,176,569748-15
13/07/2017,187,523438-2
13/07/2017,189,523436-10
13/07/2017,196,395240-10
13/07/2017,202,523436-57
13/07/2017,210,395240-57
13/07/2017,304,8100
